OP_DATE,DATETIME,NTU,NTU_z,NTU_z_lag1,NTU_z_lag2,NTU_z_lag3,NTU_z_lag6,NTU_z_lag12
2026-02-01,2026-02-01 07:00:00,,,-0.2041088937769853,-0.2041088937769853,-0.2041088937769853,-0.15543214730313193,-0.18788331161903413
2026-02-01,2026-02-01 09:00:00,,,,-0.2041088937769853,-0.2041088937769853,-0.171657729461083,-0.15543214730313193
2026-02-01,2026-02-01 11:00:00,,,,,-0.2041088937769853,-0.171657729461083,-0.18788331161903413
2026-02-01,2026-02-01 13:00:00,,,,,,-0.2041088937769853,-0.171657729461083
2026-02-01,2026-02-01 15:00:00,,,,,,-0.2041088937769853,-0.171657729461083
2026-02-01,2026-02-01 17:00:00,,,,,,-0.2041088937769853,-0.15543214730313193
2026-02-01,2026-02-01 19:00:00,,,,,,,-0.15543214730313193
2026-02-01,2026-02-01 21:00:00,,,,,,,-0.171657729461083
2026-02-01,2026-02-01 23:00:00,,,,,,,-0.171657729461083
2026-02-01,2026-02-02 01:00:00,,,,,,,-0.2041088937769853
2026-02-01,2026-02-02 03:00:00,,,,,,,-0.2041088937769853
2026-02-01,2026-02-02 05:00:00,,,,,,,-0.2041088937769853
2026-02-10,2026-02-10 07:00:00,,,,,,,
2026-02-10,2026-02-10 09:00:00,,,,,,,
2026-02-10,2026-02-10 11:00:00,,,,,,,
2026-02-10,2026-02-10 13:00:00,,,,,,,
2026-02-10,2026-02-10 15:00:00,,,,,,,
2026-02-10,2026-02-10 17:00:00,,,,,,,
2026-02-10,2026-02-10 19:00:00,,,,,,,
2026-02-10,2026-02-10 21:00:00,,,,,,,
2026-02-10,2026-02-10 23:00:00,,,,,,,
2026-02-10,2026-02-11 01:00:00,,,,,,,
2026-02-10,2026-02-11 03:00:00,,,,,,,
2026-02-10,2026-02-11 05:00:00,,,,,,,
2026-02-20,2026-02-20 07:00:00,,,,,,,
2026-02-20,2026-02-20 09:00:00,,,,,,,
2026-02-20,2026-02-20 11:00:00,,,,,,,
2026-02-20,2026-02-20 13:00:00,,,,,,,
2026-02-20,2026-02-20 15:00:00,,,,,,,
2026-02-20,2026-02-20 17:00:00,,,,,,,
2026-02-20,2026-02-20 19:00:00,,,,,,,
2026-02-20,2026-02-20 21:00:00,,,,,,,
2026-02-20,2026-02-20 23:00:00,,,,,,,
2026-02-20,2026-02-21 01:00:00,,,,,,,
2026-02-20,2026-02-21 03:00:00,,,,,,,
2026-02-20,2026-02-21 05:00:00,,,,,,,
